"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C2","0402","46.8mm","14.0mm","46.8mm","14.0mm","46.8mm","14.0mm","T","90.0","10nF"
"C3","0402","53.8mm","12.4mm","53.8mm","12.4mm","53.8mm","12.4mm","T","90.0","1.0uF"
"C4","0603","46.8mm","10.9mm","46.8mm","10.9mm","46.8mm","10.9mm","T","270.0","2.2uF"
"C5","0603","50.6mm","37.7mm","50.6mm","37.7mm","50.6mm","37.7mm","T","270.0","10uF"
"C6","0603","49.1mm","37.7mm","49.1mm","37.7mm","49.1mm","37.7mm","T","270.0","1.0uF"
"C7","0402","58.3mm","36.0mm","58.3mm","36.0mm","58.3mm","36.0mm","T","90.0","1.0uF"
"C8","0603","54.5mm","32.7mm","54.5mm","32.7mm","54.5mm","32.7mm","T","180.0","10uF"
"C9","0603","54.5mm","30.6mm","54.5mm","30.6mm","54.5mm","30.6mm","T","180.0","1.0uF"
"C10","0603","49.9mm","34.4mm","49.9mm","34.4mm","49.9mm","34.4mm","T","90.0","10uF"
"C11","0603","25.8mm","39.5mm","25.8mm","39.5mm","25.8mm","39.5mm","T","270.0","2.2uF"
"C12","0603","22.0mm","33.6mm","22.0mm","33.6mm","22.0mm","33.6mm","T","0.0","2.2uF"
"C13","0603","22.0mm","35.8mm","22.0mm","35.8mm","22.0mm","35.8mm","T","0.0","10uF"
"C14","0402","18.8mm","40.0mm","18.8mm","40.0mm","18.8mm","40.0mm","T","90.0","10nF"
"C15","0603","16.0mm","39.8mm","16.0mm","39.8mm","16.0mm","39.8mm","T","0.0","10uF"
"C16","0402","42.8mm","6.5mm","42.8mm","6.5mm","42.8mm","6.5mm","T","270.0","1.0uF"
"C17","0402","36.3mm","7.4mm","36.3mm","7.4mm","36.3mm","7.4mm","T","90.0","1.0uF"
"C18","0603","29.6mm","5.6mm","29.6mm","5.6mm","29.6mm","5.6mm","T","270.0","10uF"
"C19","0603","31.6mm","5.6mm","31.6mm","5.6mm","31.6mm","5.6mm","T","270.0","2.2uF"
"C20","0603","34.0mm","7.7mm","34.0mm","7.7mm","34.0mm","7.7mm","T","90.0","10uF"
"C21","0402","31.6mm","35.3mm","31.6mm","35.3mm","31.6mm","35.3mm","T","180.0","1.0uF"
"C22","0402","31.6mm","33.9mm","31.6mm","33.9mm","31.6mm","33.9mm","T","180.0","0.1uF"
"C23","0402","34.4mm","33.0mm","34.4mm","33.0mm","34.4mm","33.0mm","T","0.0","1.0uF"
"C24","0402","34.4mm","31.6mm","34.4mm","31.6mm","34.4mm","31.6mm","T","0.0","0.1uF"
"C25","0402","46.2mm","30.0mm","46.2mm","30.0mm","46.2mm","30.0mm","T","90.0","1.0uF"
"C26","0402","44.8mm","30.0mm","44.8mm","30.0mm","44.8mm","30.0mm","T","90.0","0.1uF"
"C27","0402","34.5mm","13.3mm","34.5mm","13.3mm","34.5mm","13.3mm","T","180.0","0.1uF"
"C28","0402","34.5mm","11.9mm","34.5mm","11.9mm","34.5mm","11.9mm","T","180.0","10uF"
"C29","1210","38.9mm","11.4mm","38.9mm","11.4mm","38.9mm","11.4mm","T","270.0","100uF"
"C30","0402","41.5mm","12.7mm","41.5mm","12.7mm","41.5mm","12.7mm","T","270.0","1.0uF"
"C31","0402","35.8mm","35.9mm","35.8mm","35.9mm","35.8mm","35.9mm","T","90.0","1.0uF"
"C32","0402","36.6mm","12.6mm","36.6mm","12.6mm","36.6mm","12.6mm","T","90.0","1.0uF"
"C33","0402","37.1mm","35.9mm","37.1mm","35.9mm","37.1mm","35.9mm","T","90.0","0.1uF"
"C34","0402","31.8mm","9.3mm","31.8mm","9.3mm","31.8mm","9.3mm","T","180.0","1.0uF"
"C35","0402","31.8mm","10.7mm","31.8mm","10.7mm","31.8mm","10.7mm","T","180.0","0.1uF"
"C36","0402","29.3mm","12.3mm","29.3mm","12.3mm","29.3mm","12.3mm","T","0.0","NI"
"C37","0402","31.8mm","12.3mm","31.8mm","12.3mm","31.8mm","12.3mm","T","0.0","NI"
"C38","0402","28.4mm","37.1mm","28.4mm","37.1mm","28.4mm","37.1mm","T","0.0","1.5nF"
"C39","0402","15.9mm","33.9mm","15.9mm","33.9mm","15.9mm","33.9mm","T","180.0","4.7nF"
"C40","0402","15.9mm","30.6mm","15.9mm","30.6mm","15.9mm","30.6mm","T","180.0","4.7nF"
"C41","0402","15.9mm","27.3mm","15.9mm","27.3mm","15.9mm","27.3mm","T","180.0","4.7nF"
"C42","0402","15.9mm","24.0mm","15.9mm","24.0mm","15.9mm","24.0mm","T","180.0","4.7nF"
"C43","0402","15.9mm","20.7mm","15.9mm","20.7mm","15.9mm","20.7mm","T","180.0","4.7nF"
"C44","0402","15.9mm","17.4mm","15.9mm","17.4mm","15.9mm","17.4mm","T","180.0","4.7nF"
"C45","0402","15.9mm","14.2mm","15.9mm","14.2mm","15.9mm","14.2mm","T","180.0","4.7nF"
"C46","0402","15.9mm","10.8mm","15.9mm","10.8mm","15.9mm","10.8mm","T","180.0","4.7nF"
"C47","0402","15.9mm","7.5mm","15.9mm","7.5mm","15.9mm","7.5mm","T","180.0","4.7nF"
"C48","0402","15.9mm","4.1mm","15.9mm","4.1mm","15.9mm","4.1mm","T","180.0","4.7nF"
"C49","0603","64.3mm","10.8mm","64.3mm","10.8mm","64.3mm","10.8mm","T","270.0","10uF"
"C50","0603","72.1mm","10.9mm","72.1mm","10.9mm","72.1mm","10.9mm","T","270.0","10uF"
"C51","0402","73.3mm","14.5mm","73.3mm","14.5mm","73.3mm","14.5mm","T","0.0","22nF"
"C52","0402","63.4mm","15.5mm","63.4mm","15.5mm","63.4mm","15.5mm","T","90.0","22nF"
"C53","0402","64.3mm","29.0mm","64.3mm","29.0mm","64.3mm","29.0mm","T","270.0","0.1uF"
"C54","0402","73.9mm","30.3mm","73.9mm","30.3mm","73.9mm","30.3mm","T","270.0","0.1uF"
"D1","LED-0603","71.0mm","38.9mm","71.0mm","38.9mm","71.0mm","38.9mm","T","180.0","GREEN"
"IC1","QFP50P1200X1200X120-64N","35.0mm","22.2mm","35.0mm","22.2mm","35.0mm","22.2mm","T","0.0","ADS1299-X"
"IC2","SSOP20","68.9mm","19.3mm","68.9mm","19.3mm","68.9mm","19.3mm","T","90.0","ADUM3151-3"
"J2","USB-B-MICRO-SMD_RED_PASTE","66.0mm","44.7mm","66.0mm","44.7mm","66.0mm","44.7mm","T","270.0",""
"L1","0805","72.1mm","33.6mm","72.1mm","33.6mm","72.1mm","33.6mm","T","0.0","3.3µH/±20%/450mA"
"L2","0805","50.8mm","31.8mm","50.8mm","31.8mm","50.8mm","31.8mm","T","180.0","3.3µH/±20%/450mA"
"L3","0805","17.9mm","37.6mm","17.9mm","37.6mm","17.9mm","37.6mm","T","180.0","3.3µH/±20%/450mA"
"L4","0805","35.7mm","5.0mm","35.7mm","5.0mm","35.7mm","5.0mm","T","180.0","3.3µH/±20%/450mA"
"R1","0402","49.2mm","9.9mm","49.2mm","9.9mm","49.2mm","9.9mm","T","180.0","0"
"R2","0402","52.2mm","9.9mm","52.2mm","9.9mm","52.2mm","9.9mm","T","0.0","0"
"R3","0402","28.4mm","35.7mm","28.4mm","35.7mm","28.4mm","35.7mm","T","180.0","1M"
"R4","0402","15.9mm","35.6mm","15.9mm","35.6mm","15.9mm","35.6mm","T","0.0","4.99K"
"R5","0402","15.9mm","32.2mm","15.9mm","32.2mm","15.9mm","32.2mm","T","0.0","4.99K"
"R6","0402","15.9mm","28.9mm","15.9mm","28.9mm","15.9mm","28.9mm","T","0.0","4.99K"
"R7","0402","15.9mm","25.6mm","15.9mm","25.6mm","15.9mm","25.6mm","T","0.0","4.99K"
"R8","0402","15.9mm","22.3mm","15.9mm","22.3mm","15.9mm","22.3mm","T","0.0","4.99K"
"R9","0402","15.9mm","19.0mm","15.9mm","19.0mm","15.9mm","19.0mm","T","0.0","4.99K"
"R10","0402","15.9mm","15.7mm","15.9mm","15.7mm","15.9mm","15.7mm","T","0.0","4.99K"
"R11","0402","15.9mm","12.4mm","15.9mm","12.4mm","15.9mm","12.4mm","T","0.0","4.99K"
"R12","0402","15.9mm","9.1mm","15.9mm","9.1mm","15.9mm","9.1mm","T","0.0","4.99K"
"R13","0402","15.9mm","5.8mm","15.9mm","5.8mm","15.9mm","5.8mm","T","0.0","4.99K"
"R14","0402","48.9mm","27.7mm","48.9mm","27.7mm","48.9mm","27.7mm","T","90.0","10k"
"R15","0402","53.3mm","27.7mm","53.3mm","27.7mm","53.3mm","27.7mm","T","90.0","10k"
"R16","0402","51.1mm","27.7mm","51.1mm","27.7mm","51.1mm","27.7mm","T","90.0","10k"
"R17","0402","48.1mm","23.9mm","48.1mm","23.9mm","48.1mm","23.9mm","T","0.0","22"
"R18","0402","48.1mm","22.0mm","48.1mm","22.0mm","48.1mm","22.0mm","T","0.0","22"
"R19","0402","48.1mm","20.5mm","48.1mm","20.5mm","48.1mm","20.5mm","T","0.0","22"
"R20","0402","48.1mm","17.9mm","48.1mm","17.9mm","48.1mm","17.9mm","T","0.0","22"
"R21","0603","71.0mm","40.5mm","71.0mm","40.5mm","71.0mm","40.5mm","T","0.0","2.2k"
"U1","SOT95P280X145-5N","50.4mm","12.4mm","50.4mm","12.4mm","50.4mm","12.4mm","T","180.0","LP2985-33DBVT"
"U3","SOT95P280X145-5N","54.5mm","36.2mm","54.5mm","36.2mm","54.5mm","36.2mm","T","180.0","TPS60403DBVT"
"U4","SOT95P280X145-5N","22.1mm","38.5mm","22.1mm","38.5mm","22.1mm","38.5mm","T","180.0","TPS73225DBVR"
"U5","SOT95P280X145-5N","39.5mm","5.9mm","39.5mm","5.9mm","39.5mm","5.9mm","T","180.0","TPS73225DBVR"
"U6","SC70-6","10.7mm","29.8mm","10.7mm","29.8mm","10.7mm","29.8mm","T","270.0","TPD4E1B06DCKR"
"U7","SC70-6","10.7mm","17.6mm","10.7mm","17.6mm","10.7mm","17.6mm","T","270.0","TPD4E1B06DCKR"
"U8","SC70-6","10.7mm","7.1mm","10.7mm","7.1mm","10.7mm","7.1mm","T","270.0","TPD4E1B06DCKR"
"U9","SOT-89","68.1mm","11.4mm","68.1mm","11.4mm","68.1mm","11.4mm","T","0.0","HT7333"
"U10","SOIC127P600X175-8N","68.9mm","29.0mm","68.9mm","29.0mm","68.9mm","29.0mm","T","0.0","ISO721D"
